2010,"11 Jun 2010 - 16:00 ",Group A,Soccer City Stadium,"Johannesburg ",South Africa,1,1,Mexico," ",84490,0,0,Ravshan IRMATOV (UZB),ILYASOV Rafael (UZB),KOCHKAROV Bakhadyr (KGZ),249722,300061454,RSA,MEX
2010,"11 Jun 2010 - 20:30 ",Group A,Cape Town Stadium,"Cape Town ",Uruguay,0,0,France," ",64100,0,0,NISHIMURA Yuichi (JPN),SAGARA Toru (JPN),JEONG Hae Sang (KOR),249722,300061453,URU,FRA
2010,"12 Jun 2010 - 13:30 ",Group B,Port Elizabeth Stadium,"Nelson Mandela Bay/Port Elizabeth ",Korea Republic,2,0,Greece," ",31513,1,0,HESTER Michael (NZL),HINTZ Jan Hendrik (NZL),MAKASINI Tevita (TGA),249722,300061459,KOR,GRE
2010,"12 Jun 2010 - 16:00 ",Group B,Ellis Park Stadium,"Johannesburg ",Argentina,1,0,Nigeria," ",55686,1,0,Wolfgang STARK (GER),SALVER Jan-Hendrik (GER),PICKEL Mike (GER),249722,300061460,ARG,NGA
2010,"12 Jun 2010 - 20:30 ",Group C,Royal Bafokeng Sports Palace,"Phokeng ",England,1,1,USA," ",38646,1,1,SIMON Carlos (BRA),HAUSMANN Altemir (BRA),BRAATZ Roberto (BRA),249722,300061466,ENG,USA
2010,"13 Jun 2010 - 13:30 ",Group C,Peter Mokaba Stadium,"Polokwane ",Algeria,0,1,Slovenia," ",30325,0,0,BATRES Carlos (GUA),LEAL Leonel (CRC),PASTRANA Carlos (HON),249722,300061465,ALG,SVN
2010,"13 Jun 2010 - 16:00 ",Group D,Loftus Versfeld Stadium,"Tshwane/Pretoria ",Serbia,0,1,Ghana," ",38833,0,0,BALDASSI Hector (ARG),CASAS Ricardo (ARG),MAIDANA Hernan (ARG),249722,300061471,SRB,GHA
2010,"13 Jun 2010 - 20:30 ",Group D,Durban Stadium,"Durban ",Germany,4,0,Australia," ",62660,2,0,RODRIGUEZ Marco (MEX),CAMARGO Jose Luis (MEX),MORIN Alberto (MEX),249722,300111116,GER,AUS
2010,"14 Jun 2010 - 13:30 ",Group E,Soccer City Stadium,"Johannesburg ",Netherlands,2,0,Denmark," ",83465,0,0,St�phane LANNOY (FRA),DANSAULT Eric (FRA),UGO Laurent (FRA),249722,300061478,NED,DEN
2010,"14 Jun 2010 - 16:00 ",Group E,Free State Stadium,"Mangaung/Bloemfontein ",Japan,1,0,Cameroon," ",30620,1,0,Oleg�rio BENQUEREN�A (POR),CARDINAL Jose (POR),MIRANDA Bertino (POR),249722,300061477,JPN,CMR
